Bedrooms,Bathrooms,Area_sqft,Location,Price
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,urban,2500000.0
3,2.0,1200.0,URBAN,4200000.0
4,3.0,1800.0, suburban ,6500000.0
2,2.0,950.0,RURAL,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,800.0,Urban,2500000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,1800.0,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
4,3.0,2000.0,Urban,7000000.0
5,4.0,2500.0,Urban,9500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
2,1.0,15000.0,Urban,60000000.0
3,2.0,1200.0,Urban,4200000.0
4,3.0,nan,Urban,6500000.0
2,2.0,950.0,Suburban,2800000.0
3,2.0,1300.0,Suburban,4500000.0
2,1.0,800.0,Urban,2500000.0
2,1.0,800.0,urban,2500000.0
1,1.0,600.0,Rural,1800000.0
2,1.0,850.0,Rural,2200000.0
3,2.0,1400.0,Suburban,4800000.0
